idx,cos_off,cos_on
1,0.999109010465199,0.34096879033732036
2,0.9986863587844506,-0.037780191732192485
3,0.9980720576801749,0.3008918252616264
4,0.9976159382506025,0.9556697570470506
5,0.9979965075720649,-0.6295516365854686
6,0.997981401972018,-0.2857127922040757
7,0.9986934721613269,0.26470446234363415
8,0.9987337828087973,-0.8411112836785407
9,0.9984663474748696,0.6343910087186778
10,0.9981888358980228,0.21575193510520405
11,0.9986635017764651,-0.37748934075086654
12,0.9992971888295522,-0.544662688073256
13,0.9996516871202851,-0.7530577626578314
14,0.9984063704340528,-0.9328161208188229
15,0.9989262171268137,-0.33270717045128184
16,0.9991279890234518,0.04792925083112972
17,0.9985917579618663,-0.23005528355317553
18,0.9986211203156422,-0.7077724401742694
19,0.9993842751241115,0.7870103614240154
20,0.9993295124874878,0.3359096208552101
21,0.9999695509091998,0.2706440225135928
22,0.9998134111858544,0.40630971111996395
23,0.9996261622220635,-0.3526834946989056
24,0.9994829972187322,0.11225952084613956
25,0.9993252592797888,-0.8986761939131741
26,0.999101046078575,-0.054479077426961814
27,0.9989428040816954,-0.19433033257633572
28,0.999224605571257,0.3931451132480717
29,0.9998602537440895,-0.6902277641234422
30,0.9999565153265647,-0.8390671918349368
31,0.9999991141883614,0.9945659496088889
32,0.9997326783542405,-0.08931373592485559
33,0.9997640457058073,0.21656745544995257
34,0.9993338930390234,-0.9684472634068936
35,0.9994871105546249,0.8292648695571202
36,0.9991564671040323,0.7127529611782378
37,0.9987018781424655,0.02539603537148235
38,0.998214778318771,0.20928226025201402
39,0.997242608835304,0.842460116324951
40,0.9968473345998523,-0.5664558851843443
41,0.9970950067164399,0.17766022438595017
42,0.9977994334062085,0.9179756576906523
43,0.9980606652320584,-0.07828271535827416
44,0.9977204561858105,0.2416775420748655
45,0.997477102563885,0.09487685601077854
46,0.998170082642289,0.3642825794734767
47,0.9981011656246407,0.9196680781240675
48,0.9979296702509183,0.9067204020599137
49,0.9987890885642452,0.6685599716156707
50,0.9972596584732294,0.4767985392704364
51,0.9978816662889961,0.936913462762805
52,0.9973855796954988,0.6035963494590777
53,0.9974972690272534,0.920329237728381
54,0.9965716931782944,-0.8733295127828478
55,0.9960686469629522,0.1981970571809049
56,0.9960153433803852,0.898230123985189
57,0.995917728822537,-0.32477525304065674
58,0.9952662730960927,-0.6055839975599725
59,0.9962193629581473,-0.9633676512304261
60,0.9952723510504986,-0.6155054370091759
61,0.9939709457148264,0.5525430416287678
62,0.9917448140479812,-0.3687836873417984
63,0.9913473516930957,-0.8523967823642855
64,0.9916262900561855,0.18525269457764115
65,0.9926451895373161,-0.6116618199199576
66,0.9911350885954524,-0.016936943678937152
67,0.9945898573345889,-0.15876154971388257
68,0.9939346488916062,-0.5650630545459722
69,0.9955227505577796,-0.005678970653935841
70,0.9960476241520633,0.2831856984807222
71,0.9956622777417807,0.9784000449015543
72,0.9947770754210551,0.6538668727173835
73,0.9956909364534035,0.30848479649306837
74,0.9953870547748256,0.23829185911513626
75,0.9955425641429161,-0.9459632845167305
76,0.9962630117547906,-0.9232228827240122
