# E0 = -1.6627687752661233  Jabs = 0.13856406460551016
idx,t_over_J,energy,acceptance
1,8.0,0.07695486171651131,0.9702380952380952
2,8.0,-0.0063672348651126025,1.0
3,8.0,-0.25020155298184704,1.0
4,8.0,-0.09010505512047196,0.9166666666666666
5,8.0,0.18801980920482753,1.0
6,8.0,-0.6292751428328491,0.9166666666666666
7,8.0,0.06043463392918722,0.9583333333333334
8,8.0,0.37347566864605575,0.9166666666666666
9,8.0,-0.005810655578036285,1.0
10,8.0,-0.2412333021768276,0.9166666666666666
11,8.0,-0.22136275943562125,0.9583333333333334
12,8.0,-0.32586217711261767,0.9583333333333334
13,8.0,0.4802634630280111,0.9583333333333334
14,8.0,-0.2206930370443149,0.9166666666666666
15,8.0,-0.29648436408781415,1.0
16,8.0,-0.10316593018463845,0.9583333333333334
17,8.0,0.03621463226327416,1.0
18,8.0,-0.32944922244075026,1.0
19,8.0,-0.040039196068832314,0.9583333333333334
20,8.0,0.13087194193796098,1.0
21,8.0,0.09793886375091686,0.9583333333333334
22,8.0,-0.022817243527882225,0.9583333333333334
23,8.0,-0.0021804083168665417,0.9583333333333334
24,8.0,0.3105909802798498,1.0
25,8.0,0.48179738960854224,1.0
26,8.0,-0.23164672376324696,0.9166666666666666
27,8.0,-0.22111881654030677,0.7916666666666666
28,8.0,-0.05735667675759702,1.0
29,8.0,0.3939884494615754,1.0
30,8.0,0.004352476677226598,1.0
31,8.0,-0.610383568335578,0.9583333333333334
32,8.0,-0.6584356719178633,0.9166666666666666
33,8.0,-0.2465472549195242,1.0
34,8.0,-0.25051093922160605,0.9583333333333334
35,8.0,-0.1044839371309014,0.9166666666666666
36,8.0,0.41125573929808146,1.0
37,8.0,-0.3284808140103961,1.0
38,8.0,-0.22973587952333477,1.0
39,8.0,-0.3068929403011258,1.0
40,8.0,-1.205904606852064,0.8333333333333334
41,4.0,-0.2617730020405679,0.8888888888888888
42,4.0,0.3413310238249676,0.8333333333333334
43,4.0,0.010151505689017182,0.9166666666666666
44,4.0,-0.48597622128134016,1.0
45,4.0,-0.34974298565446776,0.875
46,4.0,-0.15586966784654677,0.9166666666666666
47,4.0,0.6276451528294739,0.9166666666666666
48,4.0,-0.43695084750123736,1.0
49,4.0,-0.017132730972464465,0.875
50,4.0,-0.6175272462653122,0.9583333333333334
51,4.0,-0.15359449976705283,0.8333333333333334
52,4.0,0.20088393038232993,0.9166666666666666
53,4.0,-0.007371010120959344,0.9583333333333334
54,4.0,-0.0870995001710888,0.9166666666666666
55,4.0,0.17469360120785593,0.9583333333333334
56,4.0,0.19327077783328298,0.9583333333333334
57,4.0,-0.009816279408715132,0.9583333333333334
58,4.0,-0.06602752164680664,1.0
59,4.0,-0.29129804863124903,0.875
60,4.0,-0.08479636835268678,0.9166666666666666
61,4.0,-0.010497313603364849,0.9166666666666666
62,4.0,-0.37517247585671043,0.8333333333333334
63,4.0,-0.19546839409960476,0.9166666666666666
64,4.0,-0.2771192440124318,0.9583333333333334
65,4.0,-0.02767711914271849,1.0
66,4.0,-0.16770046143943618,0.875
67,4.0,-0.15490271107627973,0.8333333333333334
68,4.0,-0.015300748041146763,0.9583333333333334
69,4.0,-0.4793590274373353,0.9583333333333334
70,4.0,0.40358809009369057,0.9583333333333334
71,4.0,-0.6672893254966761,0.875
72,4.0,-0.198518309637372,0.875
73,4.0,-0.014469741323238191,0.9583333333333334
74,4.0,-0.017171148912636124,1.0
75,4.0,0.05370333519698849,1.0
76,4.0,-0.12704259683288568,0.9583333333333334
77,4.0,-0.16154322115249303,0.9583333333333334
78,4.0,-0.42143694328926035,0.8333333333333334
79,4.0,0.4823704243774791,0.875
80,4.0,-0.40854005723993725,0.9583333333333334
81,2.0,-0.3070376321210945,0.8829365079365079
82,2.0,-0.2492213976566809,1.0
83,2.0,0.10935938236512767,0.75
84,2.0,-0.2269721071950999,0.875
85,2.0,-0.12715145801227762,0.9583333333333334
86,2.0,-0.5899045255922061,0.9166666666666666
87,2.0,0.10514638253243451,0.7916666666666666
88,2.0,-0.1727270242150348,0.875
89,2.0,-0.4851186112949422,0.9166666666666666
90,2.0,-0.9091378634940801,0.875
91,2.0,-0.9351593395083726,0.75
92,2.0,-0.4002149421945278,0.9583333333333334
93,2.0,0.25587737432084173,0.8333333333333334
94,2.0,-0.3386436397679636,0.875
95,2.0,-0.18178924481078723,0.8333333333333334
96,2.0,-0.014347029230952444,0.875
97,2.0,-0.39599751417088525,0.9166666666666666
98,2.0,-0.29819857795769406,0.875
99,2.0,-0.4673426259818336,0.7916666666666666
100,2.0,0.05237113498137791,0.7083333333333334
101,2.0,-1.021824718932756,0.875
102,2.0,-1.088784711581593,0.7083333333333334
103,2.0,-0.6417565762433195,0.875
104,2.0,-0.43785158087403026,0.7916666666666666
105,2.0,-0.3193615430990166,0.8333333333333334
106,2.0,-0.11126415770987494,0.8333333333333334
107,2.0,-0.23270324695251465,0.75
108,2.0,-0.21083311334797417,0.875
109,2.0,-0.2911907905728191,0.9166666666666666
110,2.0,0.01024623732456817,0.9583333333333334
111,2.0,-0.2397812058232664,0.9166666666666666
112,2.0,-0.08646652744417435,0.9583333333333334
113,2.0,-0.23700594224989174,0.875
114,2.0,-0.19581941043168066,1.0
115,2.0,-0.45081095905348767,0.9166666666666666
116,2.0,-0.5481695059096408,0.7916666666666666
117,2.0,0.029087657744226586,0.9166666666666666
118,2.0,-0.059489161489225895,0.9166666666666666
119,2.0,-0.10909036923940203,0.875
120,2.0,-0.2021632654242413,0.7916666666666666
121,1.0,-0.48497861578297957,0.7559523809523809
122,1.0,-0.5548499922318291,0.8333333333333334
123,1.0,-0.8951532068940805,0.6666666666666666
124,1.0,-0.6989163750127347,0.6666666666666666
125,1.0,-0.632425906215176,0.75
126,1.0,-0.7549963365723744,0.625
127,1.0,-0.7170850398652382,0.7083333333333334
128,1.0,-0.6868109076553919,0.7083333333333334
129,1.0,-0.29057407259909646,0.7083333333333334
130,1.0,-0.03799990133218496,0.7916666666666666
131,1.0,-0.3778169444474919,0.9166666666666666
132,1.0,-0.9088959492895176,0.7916666666666666
133,1.0,-0.6627334156922425,0.625
134,1.0,-0.3905736341667931,0.7083333333333334
135,1.0,-0.6752260833222518,0.6666666666666666
136,1.0,-0.567741048667948,0.5416666666666666
137,1.0,-0.920806934234411,0.7083333333333334
138,1.0,-0.27695227491580743,0.8333333333333334
139,1.0,-0.4077592877233123,0.7916666666666666
140,1.0,-0.28342455034884223,0.7916666666666666
141,1.0,-0.26818528705763967,0.6666666666666666
142,1.0,-0.7378042135319549,0.875
143,1.0,-0.9626060209252162,0.8333333333333334
144,1.0,-1.0886553703618909,0.75
145,1.0,-1.156052553568969,0.75
146,1.0,-1.0608032529727112,0.625
147,1.0,-0.26237491448775485,0.625
148,1.0,-0.41085523026327,0.75
149,1.0,-0.5779746306992524,0.625
150,1.0,-0.4090929864183406,0.7083333333333334
151,1.0,-0.7022731547030562,0.875
152,1.0,-0.8720157218151012,0.7083333333333334
153,1.0,-0.8649014010118714,0.625
154,1.0,-0.958222496877794,0.5
155,1.0,-0.8918704685118557,0.5
156,1.0,-0.8296308426791336,0.75
157,1.0,-0.6870440286035964,0.625
158,1.0,-0.5760222691183409,0.6666666666666666
159,1.0,-0.6424084990279149,0.6666666666666666
160,1.0,-0.4462174411416051,0.8333333333333334
161,0.3,-1.2970562965118257,0.48412698412698413
162,0.3,-1.1801810899664944,0.6666666666666666
163,0.3,-1.4874912880940552,0.625
164,0.3,-1.4115102995750182,0.5416666666666666
165,0.3,-1.3542261839925,0.3333333333333333
166,0.3,-1.2328099532700885,0.4583333333333333
167,0.3,-1.2873285516733053,0.3333333333333333
168,0.3,-1.1027040459325197,0.4583333333333333
169,0.3,-1.1870253022709805,0.5416666666666666
170,0.3,-1.1399139744842675,0.6666666666666666
171,0.3,-1.008377350231644,0.4166666666666667
172,0.3,-1.043021114658548,0.75
173,0.3,-1.1009203172755722,0.75
174,0.3,-1.1722031398457577,0.4583333333333333
175,0.3,-1.1565664029961196,0.7083333333333334
