t,corr,stderr
0.05,0.9490030452288103,0.0012003840684886287
0.1,0.8970352134927868,0.0023975305532843573
0.15,0.8487303175418586,0.0032774540326047665
0.2,0.7943022162438904,0.00460864524094792
0.3,0.7051169908179103,0.006318111829221845
0.4,0.6056769829011391,0.008005246087527883
0.55,0.49681673581370206,0.009942133381085403
0.7,0.4168611064920182,0.010868869870510294
0.9,0.3360835889335909,0.011539773875019912
1.1,0.301440178135345,0.01202623701744256
