t,exact,mfa
0.02,0.98,0.959583152333202
0.02493723849372385,0.9750627615062761,0.9494705623545333
0.029874476987447697,0.9701255230125523,0.9393008878948634
0.03481171548117155,0.9651882845188284,0.929072197279089
0.0397489539748954,0.9602510460251046,0.9187824473773919
0.04468619246861925,0.9553138075313807,0.9084294743651471
0.0496234309623431,0.9503765690376569,0.898010983531076
0.05456066945606695,0.9454393305439333,0.8875245378791009
0.0594979079497908,0.9405020920502143,0.8769675454955179
0.06443514644351464,0.9355648535565515,0.8663372453791313
0.06937238493723849,0.9306276150633646,0.855630691606405
0.07430962343096234,0.9256903765731326,0.84484473552155
0.07924686192468619,0.9207531380972158,0.8339760057895466
0.08418410041841004,0.9158158996778172,0.8230208860643731
0.08912133891213389,0.9108786614466979,0.8119754903598911
0.09405857740585774,0.9059414237595462,0.8008356363246363
0.09899581589958159,0.9010041874657919,0.7895968172812041
0.10393305439330544,0.8960669543935493,0.7782541740781306
0.10887029288702929,0.8911297281425248,0.7668024685308853
0.11380753138075314,0.886192515279077,0.7552360602866156
0.11874476987447699,0.8812553270145227,0.7435488891439977
0.12368200836820084,0.8763181814207055,0.7317344646747362
0.1286192468619247,0.8713811061990977,0.7197858645310434
0.13355648535564854,0.8664441419764026,0.707695742406885
0.1384937238493724,0.8615073460564842,0.6954563457945548
0.14343096234309624,0.8565707965205638,0.6830595432733959
0.1483682008368201,0.8516345965387964,0.6704968602765188
0.15330543933054394,0.8466988787387046,0.6577595220688557
0.1582426778242678,0.8417638094700306,0.6448385021921733
0.16317991631799164,0.8368295928105529,0.6317245746582232
0.1681171548117155,0.8318964741715769,0.6184083680215277
0.17305439330543934,0.8269647433828515,0.6048804197525869
0.1779916317991632,0.8220347371622148,0.5911312293227468
0.18292887029288704,0.8171068409029691,0.577151308822068
0.1878661087866109,0.8121814897398838,0.5629312301190578
0.19280334728033474,0.8072591688811599,0.5484616678616077
0.19774058577405856,0.8023404132175442,0.5337334378266156
0.2026778242677824,0.7974258062402428,0.5187375304251113
0.20761506276150626,0.7925159783159696,0.5034651392860816
0.2125523012552301,0.7876116043802956,0.48790768503650805
0.21748953974895396,0.7827134011195014,0.4720568344676503
0.22242677824267781,0.7778221237167482,0.4559045154651891
0.22736401673640166,0.7729385622408946,0.4394429279463143
0.23230125523012551,0.7680635377561984,0.4226645513171356
0.23723849372384936,0.7631978982288947,0.40556214876706287
0.24217573221757321,0.7583425143027054,0.3881287688356318
0.24711297071129706,0.7534982750101408,0.37035774460217136
0.2520502092050209,0.7486660834803729,0.3522426909330581
0.25698744769874476,0.7438468526978601,0.3337775000298954
0.2619246861924686,0.739041501359017,0.31495633563345443
0.26686192468619246,0.7342509498673504,0.29577362614195946
0.2717991631799163,0.7294761165007495,0.27622405691000557
0.27673640167364016,0.7247179137781992,0.2563025618683887
0.281673640167364,0.7199772450471789,0.2360043147409232
0.28661087866108786,0.7152550013074752,0.2153247199124586
0.2915481171548117,0.7105520582821316,0.19425940319264964
0.29648535564853556,0.7058692737417855,0.17280420246766384
0.3014225941422594,0.7012074850847188,0.15095515842608784
0.30635983263598326,0.6965675071715538,0.12870850535386757
0.3112970711297071,0.6919501304106324,0.10606066214530335
0.31623430962343096,0.6873561190877022,0.08300822351523997
0.3211715481171548,0.682786209931562,0.05954795140210042
0.32610878661087866,0.6782411109057394,0.03567676675375123
0.3310460251046025,0.6737215002150678,0.011391741545949614
0.33598326359832636,0.6692280255151324,0.0
0.3409205020920502,0.6647613033119557,0.0
0.34585774058577406,0.6603219185389215,0.0
0.3507949790794979,0.6559104242977971,0.0
0.35573221757322177,0.6515273417507281,0.0
0.3606694560669456,0.6471731601502739,0.0
0.36560669456066947,0.6428483369948341,0.0
0.3705439330543933,0.6385532982972311,0.0
0.37548117154811717,0.6342884389546779,0.0
0.380418410041841,0.6300541232089006,0.0
0.38535564853556487,0.625850685185761,0.0
0.3902928870292887,0.6216784295043278,0.0
0.39523012552301257,0.61753763194597,0.0
0.4001673640167364,0.61342854017467,0.0
0.40510460251046027,0.6093513745003827,0.0
0.4100418410041841,0.6053063286778835,0.0
0.41497907949790797,0.6012935707341481,0.0
0.4199163179916318,0.5973132438178907,0.0
0.42485355648535567,0.5933654670654542,0.0
0.4297907949790795,0.5894503364777677,0.0
0.43472803347280337,0.5855679258036135,0.0
0.4396652719665272,0.5817182874249105,0.0
0.44460251046025107,0.5779014532401858,0.0
0.4495397489539749,0.5741174355428218,0.0
0.45447698744769877,0.5703662278910658,0.0
0.4594142259414226,0.5666478059671551,0.0
0.46435146443514647,0.5629621284232511,0.0
0.4692887029288703,0.5593091377121859,0.0
0.47422594142259417,0.5556887609013209,0.0
0.479163179916318,0.552100910468069,0.0
0.48410041841004187,0.5485454850758849,0.0
0.4890376569037657,0.5450223703297401,0.0
0.49397489539748957,0.5415314395102955,0.0
0.4989121338912134,0.5380725542861731,0.0
0.5038493723849372,0.5346455654038801,0.0
0.5087866108786611,0.5312503133550871,0.0
0.5137238493723849,0.5278866290210952,0.0
0.5186610878661088,0.524554334294432,0.0
0.5235983263598326,0.5212532426776294,0.0
0.5285355648535565,0.5179831598593158,0.0
0.5334728033472803,0.5147438842678399,0.0
0.5384100418410042,0.5115352076027077,0.0
0.543347280334728,0.5083569153441746,0.0
0.5482845188284519,0.5052087872413854,0.0
0.5532217573221757,0.5020905977794948,0.0
0.5581589958158996,0.49900211662623783,0.0
0.5630962343096234,0.49594310905845174,0.0
0.5680334728033473,0.4929133363690684,0.0
0.5729707112970711,0.4899125562551204,0.0
0.577907949790795,0.4869405231873155,0.0
0.5828451882845188,0.48399698876174224,0.0
0.5877824267782427,0.4810817020342789,0.0
0.5927196652719665,0.47819440983828254,0.0
0.5976569037656904,0.475334857086125,0.0
0.6025941422594142,0.4725027870551567,0.0
0.6075313807531381,0.46969794165865986,0.0
0.6124686192468619,0.466920061702354,0.0
0.6174058577405858,0.46416888712700877,0.0
0.6223430962343096,0.46144415723770804,0.0
0.6272803347280335,0.458745610920298,0.0
0.6322175732217573,0.456072986845543,0.0
0.6371548117154812,0.45342602366150164,0.0
0.642092050209205,0.45080446017461584,0.0
0.6470292887029289,0.4482080355200052,0.0
0.6519665271966527,0.44563648932142963,0.0
0.6569037656903766,0.4430895618413825,0.0
0.6618410041841004,0.44056699412175615,0.0
0.6667782426778243,0.4380685281155069,0.0
0.6717154811715481,0.43559390680973487,0.0
0.676652719665272,0.43314287434058063,0.0
0.6815899581589958,0.43071517610031973,0.0
0.6865271966527197,0.4283105588370332,0.0
0.6914644351464435,0.4259287707472085,0.0
0.6964016736401674,0.42356956156161607,0.0
0.7013389121338912,0.4212326826247931,0.0
0.7062761506276151,0.4189178869684539,0.0
0.7112133891213389,0.41662492937913054,0.0
0.7161506276150628,0.41435356646033716,0.0
0.7210878661087866,0.4121035566895416,0.0
0.7260251046025105,0.4098746604702085,0.0
0.7309623430962343,0.4076666401791752,0.0
0.7358995815899582,0.405479260209609,0.0
0.740836820083682,0.4033122870097733,0.0
0.7457740585774059,0.4011654891178399,0.0
0.7507112970711297,0.39903863719295163,0.0
0.7556485355648536,0.39693150404274935,0.0
0.7605857740585774,0.3948438646475555,0.0
0.7655230125523013,0.3927754961814015,0.0
0.7704602510460251,0.3907261780300818,0.0
0.775397489539749,0.3886956918063994,0.0
0.7803347280334728,0.3866838213627696,0.0
0.7852719665271967,0.38469035280133357,0.0
0.7902092050209205,0.3827150744817336,0.0
0.7951464435146444,0.38075777702668423,0.0
0.8000836820083682,0.3788182533254768,0.0
0.8050209205020921,0.37689629853554496,0.0
0.8099581589958159,0.37499171008220766,0.0
0.8148953974895398,0.37310428765670933,0.0
0.8198326359832636,0.3712338332126629,0.0
0.8247698744769875,0.3693801509610003,0.0
0.8297071129707113,0.3675430473635287,0.0
0.8346443514644352,0.3657223311251868,0.0
0.839581589958159,0.36391781318508853,0.0
0.8445188284518829,0.3621293067064374,0.0
0.8494560669456067,0.3603566270653943,0.0
0.8543933054393306,0.3585995918389713,0.0
0.8593305439330544,0.35685802079202367,0.0
0.8642677824267783,0.3551317358634102,0.0
0.8692050209205021,0.3534205611513811,0.0
0.874142259414226,0.3517243228982615,0.0
